"code","name","type","district","population","cbs_socio_cluster","cbs_periphery_cluster","nurture_decile","total_pupils","pupils_pre_k","pupils_primary","pupils_secondary","pupils_special_ed","special_ed_pct","special_ed_muni_burden_nis","transport_expense_k_nis","transport_deficit_per_pupil_nis","informal_edu_per_pupil_nis","classroom_shortage_units","gafen_basket_per_pupil_nis","non_res_arnona_k_nis","arnona_per_pupil_nis","muni_self_spend_per_pupil_nis","gov_standard_per_pupil_nis","gov_differential_per_pupil_nis","gov_total_per_pupil_nis","parents_co_pay_per_pupil_nis","lost_matching_per_pupil_nis","total_spending_per_pupil_nis","matching_capacity_score","equity_category","equity_category_code","national_avg_diff_pct"
"2003","אבן יהודה","מועצה מקומית","מרכז","25000","7","8","4","5750","1035","2530","1725","472","8.2","27736","11270","760","4034","33","1940","80000","13913","12670","13800","4200","18000","3810","0","34480","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18"
"2004","אום אל-פחם","עירייה","חיפה","22000","6","7","5","5060","911","2226","1518","430","8.5","23998","10525","880","3447","41","2100","48400","9565","10248","13800","4950","18750","3380","213","32378","100","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","10.8"
"2005","אופקים","עירייה","דרום","16000","3","3","8","5760","1037","2534","1728","541","9.4","14615","24146","2992","1940","92","2580","17600","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2006","אור יהודה","עירייה","תל אביב","35000","8","10","3","8050","1449","3542","2415","636","7.9","30621","13846","520","4503","34","1780","122500","15217","14026","13800","3450","17250","4240","0","35516","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","21.5"
"2007","אור עקיבא","עירייה","חיפה","22000","6","7","5","5060","911","2226","1518","430","8.5","23998","10525","880","3447","41","2100","48400","9565","10248","13800","4950","18750","3380","213","32378","100","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","10.8"
"2008","אורנית","מועצה מקומית","מרכז","25000","7","8","4","5750","1035","2530","1725","472","8.2","27736","11270","760","4034","33","1940","80000","13913","12670","13800","4200","18000","3810","0","34480","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18"
"2009","אזור","מועצה מקומית","תל אביב","35000","8","10","3","8050","1449","3542","2415","636","7.9","30621","13846","520","4503","34","1780","122500","15217","14026","13800","3450","17250","4240","0","35516","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","21.5"
"2010","אילת","עירייה","דרום","16000","3","3","8","5760","1037","2534","1728","541","9.4","14615","24146","2992","1940","92","2580","17600","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2011","אכסאל","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2012","אל בטוף","מועצה אזורית","צפון","12000","4","3","7","3360","605","1478","1008","306","9.1","18780","14085","2992","2585","40","2420","30000","8929","8225","13800","6450","20250","2520","1216","30995","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","6.1"
"2013","אל קסום","מועצה אזורית","דרום","12000","4","3","7","3360","605","1478","1008","306","9.1","18780","14085","2992","2585","40","2420","30000","8929","8225","13800","6450","20250","2520","1216","30995","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","6.1"
"2014","אלונה","מועצה אזורית","חיפה","12000","7","7","4","2760","497","1214","828","226","8.2","26883","5741","880","3916","9","1940","30000","10870","11604","13800","4200","18000","3810","0","33414","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","14.3"
"2015","אליכין","מועצה מקומית","מרכז","25000","7","8","4","5750","1035","2530","1725","472","8.2","27736","11270","760","4034","33","1940","80000","13913","12670","13800","4200","18000","3810","0","34480","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18"
"2016","אלעד","עירייה","מרכז","25000","7","8","4","5750","1035","2530","1725","472","8.2","27736","11270","760","4034","33","1940","80000","13913","12670","13800","4200","18000","3810","0","34480","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18"
"2017","אלפי מנשה","מועצה מקומית","יהודה ושומרון","12000","5","5","6","3360","605","1478","1008","296","8.8","20000","7795","1120","2825","34","2260","14400","4286","7500","13800","5700","19500","2950","975","29950","80","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","2.5"
"2018","אלקנה","מועצה מקומית","יהודה ושומרון","12000","5","5","6","3360","605","1478","1008","296","8.8","20000","7795","1120","2825","34","2260","14400","4286","7500","13800","5700","19500","2950","975","29950","80","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","2.5"
"2019","אעבלין","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2020","אפרת","מועצה מקומית","יהודה ושומרון","12000","5","5","6","3360","605","1478","1008","296","8.8","20000","7795","1120","2825","34","2260","14400","4286","7500","13800","5700","19500","2950","975","29950","80","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","2.5"
"2021","אריאל","עירייה","יהודה ושומרון","12000","5","5","6","3360","605","1478","1008","296","8.8","20000","7795","1120","2825","34","2260","14400","4286","7500","13800","5700","19500","2950","975","29950","80","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","2.5"
"2022","אשכול","מועצה אזורית","דרום","12000","4","3","7","3360","605","1478","1008","306","9.1","18780","14085","2992","2585","40","2420","30000","8929","8225","13800","6450","20250","2520","1216","30995","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","6.1"
"2023","אשקלון","עירייה","דרום","16000","3","3","8","5760","1037","2534","1728","541","9.4","14615","24146","2992","1940","92","2580","17600","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2024","באר יעקב","עירייה","מרכז","25000","7","8","4","5750","1035","2530","1725","472","8.2","27736","11270","760","4034","33","1940","80000","13913","12670","13800","4200","18000","3810","0","34480","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18"
"2025","בוסתאן אל-מרג'","מועצה אזורית","צפון","12000","4","3","7","3360","605","1478","1008","306","9.1","18780","14085","2992","2585","40","2420","30000","8929","8225","13800","6450","20250","2520","1216","30995","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","6.1"
"2026","בוקעאתא","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2027","ביר אל-מכסור","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2028","בית אל","מועצה מקומית","יהודה ושומרון","12000","5","5","6","3360","605","1478","1008","296","8.8","20000","7795","1120","2825","34","2260","14400","4286","7500","13800","5700","19500","2950","975","29950","80","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","2.5"
"2029","בית אריה-עופרים","מועצה מקומית","יהודה ושומרון","12000","5","5","6","3360","605","1478","1008","296","8.8","20000","7795","1120","2825","34","2260","14400","4286","7500","13800","5700","19500","2950","975","29950","80","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","2.5"
"2030","בית ג'ן","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2031","בית דגן","מועצה מקומית","מרכז","25000","7","8","4","5750","1035","2530","1725","472","8.2","27736","11270","760","4034","33","1940","80000","13913","12670","13800","4200","18000","3810","0","34480","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18"
"2032","בית שאן","עירייה","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2033","ביתר עילית","עירייה","יהודה ושומרון","12000","5","5","6","3360","605","1478","1008","296","8.8","20000","7795","1120","2825","34","2260","14400","4286","7500","13800","5700","19500","2950","975","29950","80","מלכודת הביניים (ללא טיפוח וללא ארנונה)","MIDDLE_TRAP","2.5"
"2034","בני שמעון","מועצה אזורית","דרום","12000","4","3","7","3360","605","1478","1008","306","9.1","18780","14085","2992","2585","40","2420","30000","8929","8225","13800","6450","20250","2520","1216","30995","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","6.1"
"2035","בסמ""ה","מועצה מקומית","חיפה","22000","6","7","5","5060","911","2226","1518","430","8.5","23998","10525","880","3447","41","2100","48400","9565","10248","13800","4950","18750","3380","213","32378","100","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","10.8"
"2036","בסמת טבעון","מועצה מקומית","חיפה","22000","6","7","5","5060","911","2226","1518","430","8.5","23998","10525","880","3447","41","2100","48400","9565","10248","13800","4950","18750","3380","213","32378","100","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","10.8"
"2037","בענה","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2038","בקעת בית שאן","מועצה אזורית","צפון","12000","4","3","7","3360","605","1478","1008","306","9.1","18780","14085","2992","2585","40","2420","30000","8929","8225","13800","6450","20250","2520","1216","30995","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","6.1"
"2039","בקעת הירדן","מועצה אזורית","יהודה ושומרון","12000","6","5","5","2760","497","1214","828","235","8.5","24363","6403","1120","3497","16","2100","30000","10870","10704","13800","4950","18750","3380","144","32834","100","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","12.3"
"2040","ברנר","מועצה אזורית","מרכז","12000","8","8","3","2760","497","1214","828","218","7.9","30256","5410","760","4453","1","1780","38400","13913","13570","13800","3450","17250","4240","0","35060","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","20"
"2041","גבעת שמואל","עירייה","מרכז","25000","7","8","4","5750","1035","2530","1725","472","8.2","27736","11270","760","4034","33","1940","80000","13913","12670","13800","4200","18000","3810","0","34480","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18"
"2042","גדרות","מועצה אזורית","מרכז","12000","8","8","3","2760","497","1214","828","218","7.9","30256","5410","760","4453","1","1780","38400","13913","13570","13800","3450","17250","4240","0","35060","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","20"
"2043","גולן","מועצה אזורית","צפון","12000","4","3","7","3360","605","1478","1008","306","9.1","18780","14085","2992","2585","40","2420","30000","8929","8225","13800","6450","20250","2520","1216","30995","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","6.1"
"2044","גוש עציון","מועצה אזורית","יהודה ושומרון","12000","6","5","5","2760","497","1214","828","235","8.5","24363","6403","1120","3497","16","2100","30000","10870","10704","13800","4950","18750","3380","144","32834","100","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","12.3"
"2045","ג'דיידה-מכר","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2046","ג'ולס","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2047","ג'לג'וליה","מועצה מקומית","מרכז","25000","7","8","4","5750","1035","2530","1725","472","8.2","27736","11270","760","4034","33","1940","80000","13913","12670","13800","4200","18000","3810","0","34480","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18"
"2048","ג'סר א-זרקא","מועצה מקומית","חיפה","22000","6","7","5","5060","911","2226","1518","430","8.5","23998","10525","880","3447","41","2100","48400","9565","10248","13800","4950","18750","3380","213","32378","100","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","10.8"
"2049","ג'ש (גוש חלב)","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2050","גני תקווה","עירייה","מרכז","25000","7","8","4","5750","1035","2530","1725","472","8.2","27736","11270","760","4034","33","1940","80000","13913","12670","13800","4200","18000","3810","0","34480","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18"
"2051","דאלית אל-כרמל","מועצה מקומית","חיפה","22000","6","7","5","5060","911","2226","1518","430","8.5","23998","10525","880","3447","41","2100","48400","9565","10248","13800","4950","18750","3380","213","32378","100","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","10.8"
"2052","דבוריה","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2053","דייר אל-אסד","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2054","דייר חנא","מועצה מקומית","צפון","14000","3","3","8","5040","907","2218","1512","474","9.4","14615","21128","2992","1940","80","2580","15400","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2055","דימונה","עירייה","דרום","16000","3","3","8","5760","1037","2534","1728","541","9.4","14615","24146","2992","1940","92","2580","17600","3056","5269","13800","7200","21000","2090","2010","28359","56","רשויות מוחלשות כלואות (פגיעה כפולה)","VULNERABLE_LOCKED","-3"
"2056","דרום השרון","מועצה אזורית","מרכז","12000","8","8","3","2760","497","1214","828","218","7.9","30256","5410","760","4453","1","1780","38400","13913","13570","13800","3450","17250","4240","0","35060","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","20"
"2057","הוד השרון","עירייה","מרכז","25000","7","8","4","5750","1035","2530","1725","472","8.2","27736","11270","760","4034","33","1940","80000","13913","12670","13800","4200","18000","3810","0","34480","100","רשויות איתנות באשכול גבוה","AFFLUENT_HIGH","18"
"2058","הגלבוע","מועצה אזורית","צפון","12000","4","3","7","3360","605","1478","1008","306","9.1","18780","14085","2992","2585","40","2420","30000","8929","8225","13800","6450","20250","2520","1216","30995","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","6.1"
"2059","הגליל העליון","מועצה אזורית","צפון","12000","4","3","7","3360","605","1478","1008","306","9.1","18780","14085","2992","2585","40","2420","30000","8929","8225","13800","6450","20250","2520","1216","30995","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","6.1"
"2060","הגליל התחתון","מועצה אזורית","צפון","12000","4","3","7","3360","605","1478","1008","306","9.1","18780","14085","2992","2585","40","2420","30000","8929","8225","13800","6450","20250","2520","1216","30995","100","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","6.1"
"2061","הר אדר","מועצה מקומית","ירושלים","20000","4","7","7","5600","1008","2464","1680","510","9.1","17680","11648","880","2434","75","2420","28000","5000","6850","13800","6450","20250","2520","1422","29620","77","רשויות פרדוקסליות (סוציו נמוך + ארנונה עסקית)","PARADOX_LOW_SOCIO_HIGH_ARNONA","1.4"
