Code 1015 | Name: יבנאל | MuniType: קריית אתא | Pop: 26534
Code 469 | Name: ע'ג'ר | MuniType: קריית אתא | Pop: 11283
Code 47 | Name: טורעאן | MuniType: קריית אתא | Pop: 4276
Code 472 | Name: קריית אונו | MuniType: קריית אתא | Pop: 8848
Code 473 | Name: קריות | MuniType: קריית אתא | Pop: 14542
Code 478 | Name: ראש העין | MuniType: קריית אתא | Pop: 15134
Code 480 | Name: הראל | MuniType: קריית אתא | Pop: 12446
Code 481 | Name: דימונה | MuniType: אלפי מ"ק  | Pop: 23486
Code 482 | Name: שדרות | MuniType: קריית אתא | Pop: 10630
Code 483 | Name: מבוא העמקים | MuniType: קריית אתא | Pop: 8714
Code 485 | Name: אפרת | MuniType: קריית אתא | Pop: 6821
Code 487 | Name: ביר אל-מכסור | MuniType: קריית אתא | Pop: 3243
Code 489 | Name: בית ג'ן | MuniType: קריית אתא | Pop: 10830
Code 490 | Name: מעלה נפתלי | MuniType: קריית אתא | Pop: 12619
Code 492 | Name: בית דגן | MuniType: קריית אתא | Pop: 10762
Code 494 | Name: בית אריה-עופרים | MuniType: קריית אתא | Pop: 18364
Code 496 | Name: גבעת זאב | MuniType: קריית אתא | Pop: 6877
Code 498 | Name: גן יבנה | MuniType: קריית אתא | Pop: 14931
Code 499 | Name: דאלית אל-כרמל | MuniType: קריית אתא | Pop: 18837
Code 5000 | Name: קלנסווה | MuniType: אלפי מ"ק  | Pop: 494900
Code 502 | Name: דבורייה | MuniType: קריית אתא | Pop: 16823
Code 504 | Name: דייר אל-אסד | MuniType: קריית אתא | Pop: 12589
Code 505 | Name: דייר חנא | MuniType: קריית אתא | Pop: 4037
Code 507 | Name: נגב מזרחי | MuniType: קריית אתא | Pop: 10526
Code 508 | Name: חורפיש | MuniType: קריית אתא | Pop: 3545
Code 509 | Name: חצור הגלילית | MuniType: קריית אתא | Pop: 25374
Code 510 | Name: אצבע הגליל | MuniType: קריית אתא | Pop: 22268
Code 511 | Name: לקיה | MuniType: קריית אתא | Pop: 9077
Code 516 | Name: יסוד המעלה | MuniType: קריית אתא | Pop: 15429
Code 517 | Name: כאבול | MuniType: קריית אתא | Pop: 3920
Code 518 | Name: כעביה-טבאש-חג'אג'רה | MuniType: קריית אתא | Pop: 3323
Code 520 | Name: כפר כמא | MuniType: קריית אתא | Pop: 8822
Code 522 | Name: כפר כנא | MuniType: קריית אתא | Pop: 13995
Code 525 | Name: כפר מנדא | MuniType: קריית אתא | Pop: 4303
Code 529 | Name: רמת גן | MuniType: קריית אתא | Pop: 13634
Code 530 | Name: להבים | MuniType: קריית אתא | Pop: 5849
Code 531 | Name: כפר קאסם | MuniType: אלפי מ"ק  | Pop: 27175
Code 532 | Name: מבשרת ציון | MuniType: קריית אתא | Pop: 14029
Code 534 | Name: מג'דל שמס | MuniType: קריית אתא | Pop: 13403
Code 535 | Name: מטולה | MuniType: קריית אתא | Pop: 3426
Code 536 | Name: מיתר | MuniType: קריית אתא | Pop: 6114
Code 537 | Name: חבל אשר | MuniType: קריית אתא | Pop: 13548
Code 538 | Name: פסוטה | MuniType: קריית אתא | Pop: 7789
Code 541 | Name: מעלה חרמון | MuniType: קריית אתא | Pop: 15824
Code 542 | Name: עין מאהל | MuniType: קריית אתא | Pop: 20653
Code 543 | Name: עיילבון | MuniType: קריית אתא | Pop: 8405
Code 5501 | Name: תל מונד | MuniType: פרדסייה | Pop: 20681
Code 5502 | Name: הגליל התחתון | MuniType: פרדסייה | Pop: 17361
Code 5503 | Name: תל שבע | MuniType: פרדסייה | Pop: 13414
Code 5504 | Name: גזר | MuniType: פרדסייה | Pop: 32033
Code 5506 | Name: חבל יבנה | MuniType: פרדסייה | Pop: 16551
Code 5507 | Name: חבל מודיעין | MuniType: פרדסייה | Pop: 16631
Code 5508 | Name: שעב | MuniType: פרדסייה | Pop: 35090
Code 5509 | Name: חוף הכרמל | MuniType: פרדסייה | Pop: 41445
Code 5512 | Name: אבו בסמה | MuniType: פרדסייה | Pop: 13244
Code 5513 | Name: גדרות | MuniType: פרדסייה | Pop: 12836
Code 5514 | Name: הגלבוע | MuniType: פרדסייה | Pop: 22676
Code 5515 | Name: נגב מערבי | MuniType: פרדסייה | Pop: 35970
Code 5516 | Name: חוף אשקלון | MuniType: פרדסייה | Pop: 43173
Code 5518 | Name: בני שמעון | MuniType: פרדסייה | Pop: 24252
Code 5519 | Name: באר טוביה | MuniType: פרדסייה | Pop: 14587
Code 5520 | Name: שלומי | MuniType: פרדסייה | Pop: 34938
Code 5525 | Name: מנשה-אלונה | MuniType: פרדסייה | Pop: 24085
Code 5526 | Name: דרום השרון | MuniType: פרדסייה | Pop: 51017
Code 5527 | Name: שוהם | MuniType: פרדסייה | Pop: 6418
Code 5528 | Name: ראש פינה | MuniType: פרדסייה | Pop: 8263
Code 5529 | Name: אלונה | MuniType: פרדסייה | Pop: 6630
Code 5530 | Name: שגב-שלום | MuniType: פרדסייה | Pop: 29370
Code 5531 | Name: חבל אילות | MuniType: פרדסייה | Pop: 10682
Code 5532 | Name: רכסים | MuniType: פרדסייה | Pop: 5112
Code 5533 | Name: קריית עקרון | MuniType: פרדסייה | Pop: 25131
Code 5534 | Name: מגילות | MuniType: פרדסייה | Pop: 14842
Code 5535 | Name: בוסתן אל-מרג' | MuniType: פרדסייה | Pop: 9297
Code 5536 | Name: אשכול | MuniType: פרדסייה | Pop: 20872
Code 5537 | Name: מגילות ים המלח | MuniType: פרדסייה | Pop: 9806
Code 5538 | Name: קריית טבעון | MuniType: פרדסייה | Pop: 19886
Code 5539 | Name: מבואות החרמון | MuniType: פרדסייה | Pop: 12777
Code 5540 | Name: לכיש | MuniType: פרדסייה | Pop: 16283
Code 5541 | Name: ראמה | MuniType: פרדסייה | Pop: 12034
Code 5542 | Name: הערבה התיכונה | MuniType: פרדסייה | Pop: 16015
Code 5545 | Name: קצרין | MuniType: פרדסייה | Pop: 2161
Code 5548 | Name: יואב | MuniType: פרדסייה | Pop: 10023
Code 5550 | Name: ברנר | MuniType: פרדסייה | Pop: 16252
Code 5551 | Name: מטה אשר | MuniType: פרדסייה | Pop: 2138
Code 5552 | Name: הגליל העליון | MuniType: פרדסייה | Pop: 12506
Code 5553 | Name: אל-בטוף | MuniType: פרדסייה | Pop: 5441
Code 5554 | Name: אל קסום | MuniType: פרדסייה | Pop: 6780
Code 5555 | Name: שורקות | MuniType: פרדסייה | Pop: 9011
Code 5556 | Name: הר חברון | MuniType: פרדסייה | Pop: 30505
Code 5565 | Name: קדימה-צורן | MuniType: פרדסייה | Pop: 9387
Code 5566 | Name: קרני שומרון | MuniType: פרדסייה | Pop: 8450
Code 5568 | Name: זבולון | MuniType: פרדסייה | Pop: 14992
Code 5569 | Name: פרדס חנה כרכור | MuniType: פרדסייה | Pop: 21328
Code 5571 | Name: רמת ישי | MuniType: פרדסייה | Pop: 21957
Code 5572 | Name: מגידו | MuniType: פרדסייה | Pop: 48038
Code 5573 | Name: גן רווה | MuniType: פרדסייה | Pop: 80968
Code 5574 | Name: גולן | MuniType: פרדסייה | Pop: 2786
Code 5575 | Name: חוף השרון | MuniType: פרדסייה | Pop: 7847
Code 5576 | Name: שבלי - אום אל-גנם | MuniType: פרדסייה | Pop: 28523
Code 5578 | Name: מועצה אזורית | MuniType: פרדסייה | Pop: 11848
Code 565 | Name: קריית שמונה | MuniType: קריית אתא | Pop: 13067
Code 587 | Name: כפר קרע | MuniType: קריית אתא | Pop: 4405
Code 6000 | Name: אחוז מסך כל שטח שיפוט | MuniType: אלפי מ"ק  | Pop: 31275
Code 6100 | Name: אופקים | MuniType: אלפי מ"ק  | Pop: 229996
Code 6200 | Name: הדרום | MuniType: אלפי מ"ק  | Pop: 129494
Code 627 | Name: אפרתה | MuniType: קריית אתא | Pop: 10992
Code 628 | Name: בית אל | MuniType: קריית אתא | Pop: 12834
Code 6300 | Name: תל אביב | MuniType: אלפי מ"ק  | Pop: 58601
Code 633 | Name: יזרעאלים | MuniType: קריית אתא | Pop: 3962
Code 634 | Name: בני ברק | MuniType: אלפי מ"ק  | Pop: 27996
Code 637 | Name: מזכרת בתיה | MuniType: קריית אתא | Pop: 20734
Code 638 | Name: מגאר | MuniType: אלפי מ"ק  | Pop: 25167
Code 6400 | Name: אילת | MuniType: אלפי מ"ק  | Pop: 110884
Code 65 | Name: יפיע | MuniType: קריית אתא | Pop: 2162
Code 6500 | Name: אלעד | MuniType: אלפי מ"ק  | Pop: 107974
Code 654 | Name: חריש | MuniType: אלפי מ"ק  | Pop: 21066
Code 6600 | Name: המרכז | MuniType: אלפי מ"ק  | Pop: 191829
Code 666 | Name: כפר תבור | MuniType: קריית אתא | Pop: 8078
Code 6700 | Name: אריאל | MuniType: אלפי מ"ק  | Pop: 52123
Code 6800 | Name: מודיעין-מכבים-רעות | MuniType: אלפי מ"ק  | Pop: 62585
Code 681 | Name: אור יהודה | MuniType: אלפי מ"ק  | Pop: 29405
Code 6900 | Name: ביתר עילית | MuniType: אלפי מ"ק  | Pop: 99410
Code 70 | Name: בקמ"ר  | MuniType: אלפי מ"ק  | Pop: 228562
Code 7000 | Name: גבעתיים | MuniType: אלפי מ"ק  | Pop: 94189
Code 7100 | Name: שטח בקמ"ר | MuniType: אלפי מ"ק  | Pop: 166864
Code 7200 | Name: מורדות הכרמל | MuniType: אלפי מ"ק  | Pop: 47267
Code 7300 | Name: טמרה | MuniType: אלפי מ"ק  | Pop: 75704
Code 7400 | Name: יהוד-מונוסון | MuniType: אלפי מ"ק  | Pop: 234813
Code 7500 | Name: יהוד-נווה אפרים | MuniType: אלפי מ"ק  | Pop: 33728
Code 7600 | Name: כפר יונה | MuniType: אלפי מ"ק  | Pop: 52885
Code 7700 | Name: כפר סבא | MuniType: אלפי מ"ק  | Pop: 66362
Code 7800 | Name: מסעדה | MuniType: קריית אתא | Pop: 46601
Code 7900 | Name: כרמיאל | MuniType: אלפי מ"ק  | Pop: 270403
Code 8000 | Name: לוד | MuniType: אלפי מ"ק  | Pop: 38687
Code 812 | Name: פוריידיס | MuniType: קריית אתא | Pop: 8225
Code 8200 | Name: נוף הגליל | MuniType: אלפי מ"ק  | Pop: 51488
Code 8300 | Name: נתיבות | MuniType: אלפי מ"ק  | Pop: 259275
Code 831 | Name: רכס הכרמל | MuniType: קריית אתא | Pop: 11989
Code 8400 | Name: סח'נין | MuniType: אלפי מ"ק  | Pop: 155049
Code 8500 | Name: לב הגליל | MuniType: אלפי מ"ק  | Pop: 86052
Code 8600 | Name: עכו | MuniType: אלפי מ"ק  | Pop: 172242
Code 8700 | Name: עראבה | MuniType: אלפי מ"ק  | Pop: 82964
Code 874 | Name: הרצלייה | MuniType: אלפי מ"ק  | Pop: 28430
Code 8800 | Name: פתח תקווה | MuniType: אלפי מ"ק  | Pop: 43858
Code 8900 | Name: באר יעקב | MuniType: אלפי מ"ק  | Pop: 36918
Code 9000 | Name: אום אל-פחם | MuniType: אלפי מ"ק  | Pop: 223587
Code 9100 | Name: טירה | MuniType: אלפי מ"ק  | Pop: 67877
Code 913 | Name: עספיא | MuniType: קריית אתא | Pop: 6476
Code 9200 | Name: חיפה | MuniType: אלפי מ"ק  | Pop: 20252
Code 922 | Name: עין קנייא | MuniType: קריית אתא | Pop: 15086
Code 9300 | Name: זמורה | MuniType: קריית אתא | Pop: 24201
Code 9400 | Name: בית שאן | MuniType: אלפי מ"ק  | Pop: 32146
Code 944 | Name: אכסאל | MuniType: קריית אתא | Pop: 8268
Code 9500 | Name: מודיעין עילית | MuniType: אלפי מ"ק  | Pop: 47073
Code 9600 | Name: נהרייה | MuniType: אלפי מ"ק  | Pop: 41957
Code 962 | Name: ג'לג'וליה | MuniType: קריית אתא | Pop: 7173
Code 9700 | Name: יישובי הברון | MuniType: אלפי מ"ק  | Pop: 66398
Code 975 | Name: בסמ"ה | MuniType: קריית אתא | Pop: 9149
Code 978 | Name: זרזיר | MuniType: קריית אתא | Pop: 6545
Code 9800 | Name: אורנית | MuniType: קריית אתא | Pop: 15566
Code 99 | Name: כפר יאסיף | MuniType: קריית אתא | Pop: 5843
Code 998 | Name: תל אביב -יפו | MuniType: קריית אתא | Pop: 11068
